review_id,product_id,rating,comment
1,1,4,"Buena calidad pero difícil de ensamblar"
2,2,5,"Sólida y muy estable"
3,3,3,"Las piezas no coincidían bien"
4,4,4,"Cómoda y resistente"
5,5,2,"La madera llegó marcada"
6,6,5,"Muy fácil de armar"
7,7,3,"Tornillos faltantes en el empaque"
8,8,4,"Estante fuerte y bien terminado"
9,9,2,"Inestable y con bordes irregulares"
10,10,5,"Excelente acabado y diseño"
11,11,3,"Buena mesa pero instrucciones confusas"
12,12,4,"Compacta y funcional"
13,13,2,"Tablas con defectos visibles"
14,14,5,"Excelente relación calidad-precio"
15,15,3,"Superficies rayadas"
16,16,4,"Muy firme, buen material"
17,17,2,"Difícil de ensamblar"
18,18,5,"Ideal para uso diario"
19,19,3,"Pintura descascarada"
20,20,4,"Buen balance entre precio y calidad"
21,21,4,"Confortable y estable"
22,22,2,"Se tambalea fácilmente"
23,23,5,"Muy moderna y resistente"
24,24,3,"Tornillos de baja calidad"
25,25,4,"Fácil montaje y muy estable"
26,26,2,"Material frágil"
27,27,5,"Excelente durabilidad"
28,28,3,"Patas difíciles de fijar"
29,29,4,"Buen diseño general"
30,30,2,"Estante con marcas de fábrica"
